City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Springdale,US,36.1867,-94.1288,92.5,50,0,6.91,clear sky
205,Burrel,AL,41.6103,20.0089,64.71,65,16,7.07,few clouds
206,Weligama,LK,5.9667,80.4167,78.35,87,100,15.79,light rain
207,Sandpoint,US,48.2766,-116.5533,76.86,45,40,10.36,scattered clouds
208,Codrington,AU,-38.2667,141.9667,48.88,65,100,17.43,overcast clouds
209,Rio Claro,BR,-22.4114,-47.5614,76.08,38,7,3.96,clear sky
210,Saryozek,KZ,44.3583,77.9753,66.7,37,39,2.59,scattered clouds
211,Mahajanga,MG,-15.7167,46.3167,73.24,55,0,20.13,clear sky
212,Kutum,SD,14.2,24.6667,87.84,20,98,5.1,overcast clouds
213,Yarensk,RU,62.1675,49.0916,64.42,73,56,4.63,broken clouds
214,Lazarev,RU,52.225,141.5131,57.45,96,100,15.97,overcast clouds
215,Yatou,CN,37.15,122.3833,72.84,92,77,4.16,broken clouds
216,Leh,IN,34.1667,77.5833,66.2,49,25,6.67,scattered clouds
217,Muros,ES,42.7762,-9.0603,65.08,90,33,5.97,scattered clouds
218,Wum,CM,6.3833,10.0667,65.66,94,95,1.21,light rain
219,Encruzilhada Do Sul,BR,-30.5439,-52.5219,65.8,86,100,5.19,overcast clouds
220,Hervey Bay,AU,-25.2986,152.8535,55.18,83,2,14.12,clear sky
221,Saint-Francois,FR,46.4154,3.9054,72.84,49,0,3.44,clear sky
222,Batemans Bay,AU,-35.7167,150.1833,50.09,86,93,5.1,overcast clouds
223,Upata,VE,8.0086,-62.3989,77.2,84,100,4.72,overcast clouds
224,Kassala,SD,15.451,36.4,83.93,58,96,8.14,overcast clouds
225,Takhli,TH,15.2634,100.3438,80.74,85,100,4.14,overcast clouds
226,Srednekolymsk,RU,67.45,153.6833,62.62,49,43,16.26,scattered clouds
227,Skjervoy,NO,70.0311,20.9714,57.2,87,51,4.74,broken clouds
228,Gat,IL,31.61,34.7642,79.81,100,12,5.14,few clouds
229,Adrar,MR,20.5022,-10.0711,102.7,7,0,10.29,clear sky
230,Kahului,US,20.8947,-156.47,82.98,78,16,13.0,few clouds
231,Sorland,NO,67.667,12.6934,55.26,84,13,7.49,few clouds
232,Namibe,AO,-15.1961,12.1522,63.66,87,2,2.3,clear sky
233,Marsa Matruh,EG,31.3525,27.2453,77.2,68,2,10.27,clear sky
234,Gladstone,AU,-23.85,151.25,48.78,66,0,8.05,clear sky
235,Olinda,BR,-8.0089,-34.8553,78.53,69,40,13.8,scattered clouds
236,Salinas,US,36.6777,-121.6555,94.01,62,0,14.97,clear sky
237,Doha,QA,25.2867,51.5333,91.38,70,81,6.91,broken clouds
238,Frogner,NO,60.0167,11.1,63.68,45,0,3.44,clear sky
239,Esso,RU,55.9333,158.7,72.86,66,0,1.19,clear sky
240,Bokoro,TD,12.3807,17.0568,86.13,49,94,10.98,overcast clouds
241,Ostrovnoy,RU,68.0531,39.5131,53.8,76,23,13.67,few clouds
242,Ziro,IN,27.6333,93.8333,59.09,96,77,1.83,broken clouds
243,Marzuq,YE,14.4,46.4667,78.58,36,100,6.58,overcast clouds
244,Port-Gentil,GA,-0.7193,8.7815,71.56,88,20,10.36,mist
245,Phuntsholing,BT,26.8516,89.3884,76.53,83,11,5.84,few clouds
246,Limin Khersonisou,GR,35.3162,25.3928,78.04,73,20,12.66,few clouds
247,Leshukonskoye,RU,64.8989,45.7622,63.59,62,100,5.3,overcast clouds
248,Te Anau,NZ,-45.4167,167.7167,29.59,94,99,0.83,overcast clouds
249,San Patricio,US,28.017,-97.5169,102.29,29,7,9.71,clear sky
250,Loandjili,CG,-4.7561,11.8578,70.5,83,79,5.48,broken clouds
251,Bijeljina,BA,44.7569,19.2161,67.8,48,52,8.21,broken clouds
252,Montepuez,MZ,-13.1256,38.9997,61.84,85,13,5.14,few clouds
253,Grindavik,IS,63.8424,-22.4338,52.27,93,100,14.97,overcast clouds
254,Gannan,CN,47.9147,123.5031,62.02,94,33,6.24,scattered clouds
255,Nabire,ID,-3.3667,135.4833,74.48,93,79,3.53,broken clouds
256,Hithadhoo,MV,-0.6,73.0833,82.47,70,100,2.77,overcast clouds
257,Araouane,ML,18.9048,-3.5265,102.31,12,17,0.04,few clouds
258,Kruisfontein,ZA,-34.0033,24.7314,51.89,89,48,9.73,scattered clouds
259,Ulladulla,AU,-35.35,150.4667,49.93,86,73,6.76,broken clouds
260,Busing,PH,13.1514,122.9714,82.49,79,71,6.17,broken clouds
261,Mamontovo,RU,52.7055,81.6244,63.25,75,5,7.76,clear sky
262,Mahebourg,MU,-20.4081,57.7,70.25,68,40,17.27,scattered clouds
263,Narsaq,GL,60.9167,-46.05,57.42,76,10,7.76,clear sky
264,Pali,IN,25.7667,73.3333,85.24,69,99,7.02,overcast clouds
265,Idritsa,RU,56.3316,28.8988,55.18,89,30,1.63,scattered clouds
266,Menongue,AO,-14.6585,17.691,55.69,43,1,3.15,clear sky
267,Nakambala,ZM,-15.8324,27.7799,60.53,49,0,7.29,clear sky
268,Copacabana,CO,6.3463,-75.5089,74.23,75,78,4.21,broken clouds
269,Parana,AR,-31.732,-60.5238,73.99,57,0,10.45,clear sky
270,Begoro,GH,6.3871,-0.3774,69.04,96,100,4.36,overcast clouds
271,Blagoveshchenka,RU,52.8333,79.8667,64.8,78,10,8.28,clear sky
272,Jacksonville,US,30.3322,-81.6556,88.11,83,0,6.91,clear sky
273,Ngunguru,NZ,-35.6167,174.5,59.92,71,100,9.53,light rain
274,Constitucion,CL,-35.3333,-72.4167,52.99,70,23,1.61,few clouds
275,Tiksi,RU,71.6872,128.8694,53.2,62,6,6.76,clear sky
276,Seoul,KR,37.5683,126.9778,74.77,88,100,5.75,overcast clouds
277,Sao Filipe,CV,14.8961,-24.4956,73.98,84,28,6.76,scattered clouds
278,Camacha,PT,33.0833,-16.3333,65.62,83,75,20.71,broken clouds
279,Sangerhausen,DE,51.4667,11.3,59.04,76,8,7.76,clear sky
280,Hasaki,JP,35.7333,140.8333,75.6,93,0,2.08,clear sky
281,Toowoomba,AU,-27.55,151.9667,41.25,79,0,3.36,clear sky
282,Kawalu,ID,-7.3817,108.2082,69.87,95,83,1.48,broken clouds
283,Castro,BR,-24.7911,-50.0119,65.57,66,6,5.12,clear sky
284,Manaus,BR,-3.1019,-60.025,90.1,58,40,8.05,scattered clouds
285,Korla,CN,41.7597,86.1469,79.39,22,34,4.36,scattered clouds
286,Anloga,GH,5.7947,0.8973,77.29,84,95,13.29,overcast clouds
287,Chapais,CA,49.7834,-74.8492,78.62,23,95,12.97,overcast clouds
288,Royan,FR,45.6285,-1.0281,79.84,36,0,14.94,clear sky
289,Thompson,CA,55.7435,-97.8558,77.16,57,40,3.44,scattered clouds
290,Naze,JP,28.3667,129.4833,78.24,90,7,5.75,clear sky
291,Olenegorsk,RU,68.15,33.3,57.33,94,100,3.31,overcast clouds
292,Inta,RU,66.0317,60.1659,57.58,66,62,6.91,broken clouds
293,Havelock,US,34.8791,-76.9013,80.55,93,99,1.01,overcast clouds
294,Pizhanka,RU,57.4604,48.542,65.82,89,98,6.4,overcast clouds
295,Batagay-Alyta,RU,67.8006,130.4114,56.64,74,98,1.14,overcast clouds
296,Kirkwall,GB,58.9848,-2.9587,59.05,77,40,3.44,scattered clouds
297,Port Elizabeth,ZA,-33.918,25.5701,54.1,92,30,3.0,scattered clouds
298,Pokaran,IN,26.9167,71.9167,87.91,64,100,13.06,overcast clouds
299,Curaca,BR,-8.9903,-39.9094,81.68,42,91,15.14,overcast clouds
300,Faya,SA,18.3851,42.4509,66.88,50,77,1.12,broken clouds
301,Siderno,IT,38.2779,16.302,71.33,70,0,7.27,clear sky
302,Atambua,ID,-9.1061,124.8925,69.13,86,63,7.07,broken clouds
303,Dekar,BW,-21.5333,21.9333,57.97,36,2,12.55,clear sky
304,Bukama,CD,-9.2,25.85,71.71,37,2,2.28,clear sky
305,Mhlambanyatsi,SZ,-26.45,31.0167,52.12,46,0,6.87,clear sky
306,Springfield,US,37.2153,-93.2982,91.85,48,0,8.05,clear sky
307,Acapulco,MX,16.8634,-99.8901,87.57,64,17,7.96,few clouds
308,Tahlequah,US,35.9154,-94.97,96.08,29,0,6.71,clear sky
309,Milyutinskaya,RU,48.6279,41.6679,83.32,26,90,15.23,overcast clouds
310,Nadym,RU,65.5333,72.5167,54.01,79,7,9.33,clear sky
311,Hovd,MN,48.0056,91.6419,58.21,53,8,5.19,light rain
312,Burayevo,RU,55.8407,55.4083,63.25,85,19,5.37,few clouds
313,Manaure,CO,11.7751,-72.4445,90.72,51,100,18.03,overcast clouds
314,Provideniya,RU,64.3833,-173.3,49.62,88,100,5.03,overcast clouds
315,Bireun,ID,5.203,96.7009,80.47,69,100,5.06,overcast clouds
316,Opunake,NZ,-39.4556,173.8583,57.11,86,100,10.67,light rain
317,Igrim,RU,63.1906,64.4162,59.79,67,18,4.76,few clouds
